Kabupaten/Kota,Luas Wilayah,Indeks Pembangunan Manusia (IPM),Harapan Lama Sekolah (Tahun),Rata-rata Lama sekolah (Tahun),Angka Partisipasi Sekolah (APS) Usia 7-12 (Persen),Angka Partisipasi Sekolah (APS) Usia 13-15 (Persen),Angka Partisipasi Sekolah (APS) Usia 16-18 (Persen),Angka Partisipasi Sekolah (APS) Usia 19-23 (Persen),Rasio Guru per Siswa,Persentase Penduduk Miskin (Persen),Pengeluaran Per Kapita Riil Disesuaikan (Ribu Rupiah),Persentase Rumah Tangga dengan Akses Air Bersih,Laju Pertumbuhan Penduduk per Tahun (persen),Kepadatan Penduduk per km persegi (km²),Gini Ratio,"Jumlah masyarakat miskin 
dan tidak mampu yang dapat
mengakses pelayanan kesehatan (orang)",Jumlah Penerima Bansos,STATUS BALITA GIZI KURANG BB,"STATUS BALITA KURUS  BB TB
","STATUS BALITA PENDEK TB U
",PRODUKSI PADI (TON),Rasio_Ketenagakerjaan,Jumlah Penduduk (Ribu),Cluster
Bangkalan,1001.44,66.82,11.98,5.99,99.94,97.24,53.3,14.21,14.39,18.66,9438,96.3,1.04,847.0,301.0,2,1467,9598.0,12079.0,12079.0,189161.9,11.567961165048544,335804.0,2
Sampang,1233.08,66.19,12.55,5.07,99.97,94.39,62.62,13.73,11.18,20.83,9363,94.29,1.26,827.0,233.0,3,3149,14646.0,13354.0,13354.0,145931.8,27.036764705882355,342761.5,2
Pamekasan,792.24,70.32,13.69,7.15,99.31,97.8,65.92,19.29,9.46,13.41,9420,97.91,1.07,1113.0,301.0,7,3651,8103.0,11683.0,11683.0,101501.4,44.333333333333336,303141.0,2
Sumenep,1998.54,69.13,13.59,5.94,98.4,95.23,68.48,18.5,7.46,17.78,9807,98.1,0.68,553.0,308.0,0,3123,13827.0,14770.0,14770.0,189499.7,46.11695906432749,403976.5,2
Kota Kediri,63.4,80.97,15.71,10.69,98.95,99.92,92.87,30.44,15.28,6.51,13276,99.6,1.05,4436.0,337.0,10,372,6483.0,4673.0,4673.0,8392.91,17.692118226600986,105702.0,1
Kota Blitar,32.57,80.78,14.81,10.78,99.96,99.94,94.58,30.33,15.3,6.75,14548,98.79,1.02,4664.0,353.0,0,527,4248.0,2258.0,2258.0,3722.17,13.790076335877863,55430.5,1
Kota Malang,145.28,84.0,15.79,10.94,99.05,99.99,86.66,50.33,15.6,3.91,17222,99.06,0.9,7857.0,422.0,34,1978,19481.0,9373.0,9373.0,10496.65,9.938235294117646,292764.0,1
Kota Probolinggo,56.67,76.93,13.98,9.56,99.28,96.27,88.82,25.61,15.75,6.18,12999,100.0,1.09,4564.0,344.0,0,539,10523.0,6371.0,6371.0,8494.14,15.58719646799117,82305.0,1
Kota Pasuruan,35.29,78.3,13.67,9.78,99.94,94.19,83.91,19.99,14.85,6.32,14250,99.38,1.43,5626.0,334.0,3,14,14223.0,9435.0,9435.0,8665.29,13.413120567375888,70283.5,1
Kota Mojokerto,20.21,80.9,14.13,11.05,98.97,99.6,87.84,29.55,14.34,5.57,14422,99.95,0.99,6796.0,357.0,3,380,2171.0,1114.0,1114.0,3449.63,15.327695560253698,48126.5,1
Kota Madiun,33.92,83.71,14.54,11.82,99.65,99.9,79.96,31.18,14.64,4.38,17115,99.1,0.89,5585.0,435.0,18,415,4539.0,3554.0,3554.0,12610.42,11.844444444444447,73579.0,1
Kota Surabaya,350.54,83.99,14.87,10.7,98.81,99.95,70.99,42.46,17.19,3.96,18977,98.15,0.44,8698.0,381.0,609,4443,15908.0,16743.0,16743.0,7340.42,10.167159763313611,1005588.0,1
Kota Batu,136.74,79.07,14.58,9.85,99.92,99.96,84.67,36.33,15.04,3.06,13603,99.16,1.19,1147.0,327.0,2,132,7073.0,2764.0,2764.0,3659.41,17.47566371681416,75518.0,1
