Kabupaten/Kota,Tahun,Luas Wilayah,Indeks Pembangunan Manusia (IPM),Harapan Lama Sekolah (Tahun),Rata-rata Lama sekolah (Tahun),Angka Partisipasi Sekolah (APS) Usia 7-12 (Persen),Angka Partisipasi Sekolah (APS) Usia 13-15 (Persen),Angka Partisipasi Sekolah (APS) Usia 16-18 (Persen),Angka Partisipasi Sekolah (APS) Usia 19-23 (Persen),Rasio Guru per Siswa,Persentase Penduduk (Persen),Persentase Penduduk Miskin (Persen),Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja - Agustus,Pengeluaran Per Kapita Riil Disesuaikan (Ribu Rupiah),Persentase Rumah Tangga dengan Akses Air Bersih,Laju Pertumbuhan Penduduk per Tahun (persen),Kepadatan Penduduk per km persegi (km²),Gini Ratio,"Jumlah masyarakat miskin 
dan tidak mampu yang dapat
mengakses pelayanan kesehatan (orang)",Jumlah Penerima Bansos,Jumlah Penduduk (Ribu) Semester 1,Jumlah Penduduk (Ribu) Semester 2,STATUS BALITA GIZI KURANG BB,"STATUS BALITA KURUS  BB TB
","STATUS BALITA PENDEK TB U
",PRODUKSI PADI (TON),DESA KURANG BERKEMBANG,KELURAHAN KURANG BERKEMBANG,KODE KABUPATEN KOTA,DESA CEPAT BERKEMBANG,    KELURAHAN BERKEMBANG,KELURAHAN CEPAT BERKEMBANG,DESA BERKEMBANG
Kota Madiun,2023,33.92,83.71,14.44,11.82,99.42,98.44,74.77,33.44,14.21,0.48,4.74,5.85,69.29,17115,99.1,2.45,5536,416,44,415,72907,73184,657,674,674,12169.62,0,0,3577,0,0,27,0
Kota Surabaya,2023,350.54,83.99,14.85,10.7,97.88,98.54,65.29,40.33,17.68,7.01,4.65,6.76,68.73,18977,98.15,1.29,8667,423,1792,4443,1008751,1010118,2920,3481,3481,8068.88,0,0,3578,0,5,148,0
Kota Batu,2023,136.74,79.07,14.56,9.85,99.23,98.5,79.99,38,14.7,0.53,3.31,4.52,78.99,13603,99.16,3.38,1134,0.33,9,132,73473,74181,1215,543,543,4862.81,0,0,3579,19,1,4,0
Pacitan,2024,1389.92,70.94,12.69,7.88,99.55,96.64,84.81,10.75,9.22,1.41,13.08,1.83,81.64,9681,80.19,0.11,411,327,255,2059,217605,216724,16715,6509,6509,69650.98,1,1,3526,152,1,0,110
Ponorogo,2024,1305.7,73.18,13.78,7.78,98.47,99.33,83.84,20.8,11.94,2.3,9.11,4.66,75.88,10658,94.42,0.38,679,326,114,1101,364915,367589,25770,14969,14969,379244.9,1,1,3510,74,2,2,20
Trenggalek,2024,1147.22,71.96,12.63,7.9,99.38,98.85,81.14,13.52,12.07,1.78,10.5,4.52,80.72,10465,84.87,0.49,596,0.35,27,3174,282051,283435,17086,6993,6993,104859.4,0,0,3505,192,12,16,27
Tulungagung,2024,1055.65,74.65,13.36,8.66,99.6,99.91,82.04,22.07,11.93,2.66,6.28,5.65,74.7,11565,97.9,0.58,973,321,494,691,413773,417225,28626,16265,16265,214820.8,0,0,3522,184,4,7,48
Blitar,2024,1336.48,72.84,12.67,7.83,99.53,97.53,73.67,14.92,12.63,3.02,8.16,4.91,73.5,11499,96.41,0.86,724,353,44,821,462841,466687,36040,18268,18268,171154,1,1,3511,112,2,5,71
Kediri,2024,1386.05,74.68,13.63,8.24,99.99,97.63,81.87,18.16,14.89,4.04,9.95,5.79,68.74,11952,92,0.88,1109,0.3,97,2244,602096,606398,54864,29609,29609,174072.2,0,0,3525,318,5,21,12
Malang,2024,3530.65,73,13.49,7.75,99.61,96.92,71.45,28.29,15.89,6.54,8.98,5.7,70.66,10791,98.18,0.81,788,343,303,2460,946999,948471,60557,37722,37722,254793.7,0,0,3509,166,7,15,27
Lumajang,2024,1790.9,69.37,12.41,7.14,97.87,98.86,64.7,16.35,13.93,2.74,8.65,3.67,68.49,9720,95.49,0.63,638,363,17,1251,382463,387001,29436,16539,16539,257120.7,1,1,3517,190,0,2,64
Jember,2024,3092.34,70.42,13.5,6.52,98.83,95.49,74.35,26.11,14.73,6.23,9.01,4.01,72.3,10277,97.51,0.7,786,321,176,963,921339,933862,98309,69095,69095,623264.9,0,0,3506,295,0,1,44
Banyuwangi,2024,5782.4,73.79,13.14,7.76,99.61,99.32,79.98,16.52,14.06,4.2,6.54,4.75,79.04,12820,97.44,0.72,488,312,10,752,671006,676749,22347,12069,12069,395631.4,0,0,3579,19,1,4,0
Bondowoso,2024,1525.97,70.56,13.33,6.36,97.86,94.97,69.97,14.53,9.37,1.89,12.6,4.15,74.39,11255,94.43,0.55,510,333,34,3015,311542,312241,18984,12591,12591,259477.7,0,0,3572,0,0,21,0
Situbondo,2024,1669.87,70.65,13.2,6.9,99.28,98.93,69.59,11.28,10.63,1.68,11.51,3.27,75.28,10702,97.45,0.57,424,385,5,1565,272152,274379,18223,15497,15497,162236.8,0,0,3571,0,0,46,0
Probolinggo,2024,1696.21,70.36,12.64,6.29,99.56,90.74,57.03,18.43,12.03,2.83,16.45,3.24,69.48,11756,97.75,0.75,687,339,5,3865,418057,421998,55385,34854,34854,177607.4,0,0,3577,0,0,27,0
Pasuruan,2024,1474.02,71.91,12.78,7.44,98.99,93.82,68.54,16.24,14.5,3.96,8.63,5.48,71.21,11239,97.63,0.84,1110,331,83,2685,572149,578059,68239,84128,84128,277354.5,0,0,3573,0,20,37,0
Sidoarjo,2024,634.38,81.88,15.22,10.78,99.82,99.93,88.33,38.09,16.44,5.19,4.53,8.05,69.62,15311,97.19,1.12,2999,327,211,2097,675372,685789,24548,22939,22939,208986.7,0,0,3576,0,0,18,0
Mojokerto,2024,717.83,76.23,12.99,9.11,99.52,99.97,85.84,15.01,14.77,2.76,9.37,4.67,72.51,13467,98.9,0.83,1172,337,903,1101,400232,404719,15512,14830,14830,285714.4,0,0,3575,0,0,34,0
Jombang,2024,1115.09,75.16,13.61,8.77,99.74,98.37,84.42,21.3,14.3,3.26,8.6,4.66,71.91,11999,98.01,0.89,1228,302,21,1248,482940,487158,50647,37842,37842,342291.3,0,0,3574,0,4,25,0
Nganjuk,2024,1224.25,74.7,13.18,8.24,99.24,95.31,91.1,20.43,13.24,2.71,10.17,4.68,66.89,12821,98.86,0.67,878,289,5,4128,407642,411550,31806,18845,18845,404975.1,0,0,3578,0,7,146,0
Madiun,2024,1037.58,74.02,13.27,7.95,98.05,99.95,89.36,20.14,12.52,1.81,10.63,5.14,72.49,12259,96.39,0.48,681,309,12,2475,279972,281482,21853,12573,12573,437458.3,0,0,3524,343,3,9,119
Magetan,2024,688.84,76.3,14.08,8.67,98.62,99.97,82.92,20.61,11.72,1.64,9.32,4.16,78.48,12495,99.61,0.58,970,371,133,1011,250541,252388,21140,10321,10321,272246.1,0,0,3508,130,1,6,68
Ngawi,2024,1295.98,73.28,12.89,7.78,99.85,98.71,82.25,11.75,11.55,2.11,13.81,2.41,69.43,11897,97.51,0.43,633,289,3,2952,338124,340914,35233,20307,20307,765703.5,0,0,3519,172,1,3,6
Bojonegoro,2024,2198.79,71.8,13.18,7.45,99.77,98.19,85.5,21.13,11.67,3.17,11.69,4.63,74.29,10776,97.59,0.48,573,0.31,0,4080,466853,470477,30415,20745,20745,710527.2,0,0,3520,174,4,23,30
Tuban,2024,1834.15,71.4,12.54,7.4,99.65,96.98,70.05,11.97,12.98,2.93,14.36,4.4,74.73,11174,95.22,0.6,621,335,21,1996,433841,438912,45314,38318,38318,523067.5,0,0,3507,357,2,10,21
Lamongan,2024,1782.05,75.29,14.03,8.34,99.99,99.99,79.09,24.04,9.11,3.3,12.16,5.46,75.08,12019,79.26,0.67,786,281,28,8991,431106,435782,24864,17991,17991,776290.7,0,0,3516,299,0,5,0
Gresik,2024,1191.25,78.44,13.98,10.01,99.33,99.19,81.95,27.68,12.73,3.26,10.32,6.82,70.12,13870,92.54,1.06,1086,322,28,2459,424021,428915,32939,20629,20629,328959.5,1,1,3518,238,3,16,24
Bangkalan,2024,1001.44,66.82,11.98,5.99,99.94,97.24,53.3,14.21,14.39,2.64,18.66,6.18,71.49,9438,96.3,1.04,847,301,2,1467,334178,337430,9598,12079,12079,189161.9,0,0,3521,181,3,1,31
Sampang,2024,1233.08,66.19,12.55,5.07,99.97,94.39,62.62,13.73,11.18,2.43,20.83,2.72,73.54,9363,94.29,1.26,827,233,3,3149,340284,345239,14646,13354,13354,145931.8,0,0,3501,142,1,4,25
Pamekasan,2024,792.24,70.32,13.69,7.15,99.31,97.8,65.92,19.29,9.46,2.12,13.41,1.74,77.14,9420,97.91,1.07,1113,301,7,3651,301303,304979,8103,11683,11683,101501.4,0,0,3528,56,0,0,99
Sumenep,2024,1998.54,69.13,13.59,5.94,98.4,95.23,68.48,18.5,7.46,2.76,17.78,1.71,78.86,9807,98.1,0.68,553,308,0,3123,402774,405179,13827,14770,14770,189499.7,0,0,3514,180,11,10,48
Kota Kediri,2024,63.4,80.97,15.71,10.69,98.95,99.92,92.87,30.44,15.28,0.71,6.51,4.06,71.83,13276,99.6,1.05,4436,337,10,372,105161,106243,6483,4673,4673,8392.91,0,0,3502,259,3,23,22
Kota Blitar,2024,32.57,80.78,14.81,10.78,99.96,99.94,94.58,30.33,15.3,0.37,6.75,5.24,72.26,14548,98.79,1.02,4664,353,0,527,55085,55776,4248,2258,2258,3722.17,0,0,3513,175,0,5,71
Kota Malang,2024,145.28,84,15.79,10.94,99.05,99.99,86.66,50.33,15.6,2.09,3.91,6.8,67.58,17222,99.06,0.9,7857,422,34,1978,291087,294441,19481,9373,9373,10496.65,0,0,3527,6,0,0,4
Kota Probolinggo,2024,56.67,76.93,13.98,9.56,99.28,96.27,88.82,25.61,15.75,0.6,6.18,4.53,70.61,12999,100,1.09,4564,344,0,539,81975,82635,10523,6371,6371,8494.14,0,0,3515,293,4,24,25
Kota Pasuruan,2024,35.29,78.3,13.67,9.78,99.94,94.19,83.91,19.99,14.85,0.52,6.32,5.64,75.65,14250,99.38,1.43,5626,334,3,14,69953,70614,14223,9435,9435,8665.29,0,0,3512,59,1,3,39
Kota Mojokerto,2024,20.21,80.9,14.13,11.05,98.97,99.6,87.84,29.55,14.34,0.33,5.57,4.73,72.5,14422,99.95,0.99,6796,357,3,380,47880,48373,2171,1114,1114,3449.63,0,0,3529,241,1,3,57
Kota Madiun,2024,33.92,83.71,14.54,11.82,99.65,99.9,79.96,31.18,14.64,0.48,4.38,5.85,69.29,17115,99.1,0.89,5585,435,18,415,73191,73967,4539,3554,3554,12610.42,0,0,3503,78,0,5,25
Kota Surabaya,2024,350.54,83.99,14.87,10.7,98.81,99.95,70.99,42.46,17.19,6.99,3.96,6.76,68.73,18977,98.15,0.44,8698,381,609,4443,1007132,1004044,15908,16743,16743,7340.42,2,2,3523,211,1,0,41
Kota Batu,2024,136.74,79.07,14.58,9.85,99.92,99.96,84.67,36.33,15.04,0.53,3.06,4.52,78.99,13603,99.16,1.19,1147,327,2,132,75001,76035,7073,2764,2764,3659.41,0,0,3504,235,3,2,12
