tahun,kabupaten/kota,persentase_kemiskinan
2026,Mojokerto,9.846857070922852
2026,Nganjuk,10.632452011108398
2026,Ngawi,12.938796043395996
2026,Pacitan,13.101456642150879
2026,Pamekasan,13.215052604675293
2026,Pasuruan,9.383299827575684
2026,Ponorogo,9.609740257263184
2026,Probolinggo,15.153308868408203
2026,Sampang,20.059293746948242
2026,Sidoarjo,4.9533467292785645
2026,Situbondo,11.43055248260498
2026,Sumenep,17.362279891967773
2026,Trenggalek,10.498003959655762
2026,Tuban,14.16292667388916
2026,Tulungagung,6.844065189361572
2027,Bangkalan,18.03896141052246
2027,Banyuwangi,7.453078269958496
2027,Blitar,8.36056137084961
2027,Bojonegoro,11.934096336364746
2027,Bondowoso,12.364917755126953
2027,Gresik,10.315755844116211
2027,Jember,9.625550270080566
2027,Jombang,8.6967134475708
2027,Kediri,9.80296802520752
2027,Kota Batu,4.080546855926514
2027,Kota Blitar,6.7351298332214355
2027,Kota Kediri,6.635340213775635
2027,Kota Madiun,4.909956455230713
2027,Kota Malang,4.307519912719727
2027,Kota Mojokerto,5.512503147125244
2027,Kota Pasuruan,5.943065166473389
2027,Kota Probolinggo,6.167218208312988
2027,Kota Surabaya,4.342543601989746
2027,Lamongan,11.56316089630127
2027,Lumajang,8.895662307739258
2027,Madiun,10.612930297851562
2027,Magetan,9.559233665466309
2027,Malang,9.466736793518066
2027,Mojokerto,9.607401847839355
2027,Nganjuk,10.635066986083984
2027,Ngawi,12.941030502319336
2027,Pacitan,12.438675880432129
2027,Pamekasan,13.13404655456543
2027,Pasuruan,8.660717964172363
2027,Ponorogo,9.412055969238281
2027,Probolinggo,14.763626098632812
2027,Sampang,19.897708892822266
2027,Sidoarjo,4.887466907501221
2027,Situbondo,11.440839767456055
2027,Sumenep,17.18428611755371
2027,Trenggalek,10.271452903747559
2027,Tuban,13.889408111572266
2027,Tulungagung,6.20646858215332
